name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
Roy Courtney Marsden	male				14 Jul 1896	14 Jul 1896	14 Jul 1896	1896.0	Jul	14.0							1944	1944	1944	1944						excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							North Texas District, Texas Mission	North Texas District, Texas Mission	Texas?, United States	Texas?, United States	Texas	United States	Texas?				Texas, United States	United States	Texas				['20th Century']	['improvement-era', '1944-dec']						
Elva Wright	female				19 May 1924	19 May 1924	19 May 1924	1924.0	May	19.0							1944	1944	1944	1944						excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							North Texas District, Texas Mission	North Texas District, Texas Mission	Texas?, United States	Texas?, United States	Texas	United States	Texas?				Texas, United States	United States	Texas				['20th Century']	['improvement-era', '1944-dec']						
Larkin Harris Egbert	male				8 Mar 1906	8 Mar 1906	8 Mar 1906	1906.0	Mar	8.0	18 Dec 1982	[18 Dec 1982](https://www.findagrave.com/memorial/83491313/larkin-harris-egbert)	18 Dec 1982	1982.0	Dec	18.0	2 Jan 1944	2 Jan 1944	2 Jan 1944	1944	Jan	2.0				excommunicated-at-own-request	excommunicated-at-own-request			Excommunicated at her own request.	[Excommunicated at her own request](https://archive.org/details/improvementera4703unse/page/n31).			First Ward, Park Stake	First Ward, Park Stake	Salt Lake City?, Salt Lake?, Utah, United States	Salt Lake City?, Salt Lake?, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake?	Salt Lake City?		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-mar']						
Delvin Horace White	male				29 Feb 1891	29 Feb 1891	29 Feb 1891	1891.0	Feb	29.0							14 Jan 1944	14 Jan 1944	14 Jan 1944	1944	Jan	14.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4703unse/page/n31).			Cambridge Branch, New England Mission	Cambridge Branch, New England Mission	Cambridge, Middlesex, Massachusetts, United States	Cambridge, Middlesex, Massachusetts, United States	Cambridge, Massachusetts	United States	Massachusetts	Middlesex	Cambridge		Cambridge, Middlesex, Massachusetts, United States	United States	Massachusetts	Middlesex	Cambridge		['20th Century']	['improvement-era', '1944-mar']						
Elsie Belle Gould White	female				27 Aug 1896	27 Aug 1896	27 Aug 1896	1896.0	Aug	27.0							14 Jan 1944	14 Jan 1944	14 Jan 1944	1944	Jan	14.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4703unse/page/n31).			Cambridge Branch, New England Mission	Cambridge Branch, New England Mission	Cambridge, Middlesex, Massachusetts, United States	Cambridge, Middlesex, Massachusetts, United States	Cambridge, Massachusetts	United States	Massachusetts	Middlesex	Cambridge		Cambridge, Middlesex, Massachusetts, United States	United States	Massachusetts	Middlesex	Cambridge		['20th Century']	['improvement-era', '1944-mar']						
LeGrand Lindsley	male				22 Mar 1920	22 Mar 1920	22 Mar 1920	1920.0	Mar	22.0							16 Jan 1944	16 Jan 1944	16 Jan 1944	1944	Jan	16.0			deacon	excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4703unse/page/n31).			First Ward, Park Stake	First Ward, Park Stake	Salt Lake City?, Salt Lake?, Utah, United States	Salt Lake City?, Salt Lake?, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake?	Salt Lake City?		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-mar']						
Barbara Jean Heath	female				4 Mar 1924	4 Mar 1924	4 Mar 1924	1924.0	Mar	4.0							22 Jan 1944	[22 Jan 1944](https://archive.org/details/improvementera4706unse/page/n45)	22 Jan 1944	1944	Jan	22.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n43)							La Cienega Ward, Inglewood Stake	La Cienega Ward, Inglewood Stake	Los Angles, Los Angeles, California, United States	Los Angles, Los Angeles, California, United States	Los Angles, California	United States	California	Los Angeles	Los Angles		Los Angles, Los Angeles, California, United States	United States	California	Los Angeles	Los Angles		['20th Century']	['improvement-era', '1944-jun']						
Earl Marshall	male				8 Mar 1903	8 Mar 1903	8 Mar 1903	1903.0	Mar	8.0							22 Jan 1944	22 Jan 1944	22 Jan 1944	1944	Jan	22.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							East Nebraska District, Western States Mission	East Nebraska District, Western States Mission	Nebraska?, United States	Nebraska?, United States	Nebraska	United States	Nebraska?				Nebraska, United States	United States	Nebraska				['20th Century']	['improvement-era', '1944-jun']						
Rudolph Helmer Gylling	male				2 Jan 1903	2 Jan 1903	2 Jan 1903	1903.0	Jan	2.0	16 May 1988	[16 May 1988](https://www.findagrave.com/memorial/81091768/rudolph-helmer-gylling)	16 May 1988	1988.0	May	16.0	27 Jan 1944	27 Jan 1944	27 Jan 1944	1944	Jan	27.0			priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Denver First Ward, Denver Stake	Denver First Ward, Denver Stake	Denver, Denver, Colorado, United States	Denver, Denver, Colorado, United States	Denver, Colorado	United States	Colorado	Denver	Denver		Denver, Denver, Colorado, United States	United States	Colorado	Denver	Denver		['20th Century']	['improvement-era', '1944-jun']						
Samuel Ray Allen	male				6 Feb 1894	6 Feb 1894	6 Feb 1894	1894.0	Feb	6.0							30 Jan 1944	30 Jan 1944	30 Jan 1944	1944	Jan	30.0			high priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n43)							La Grande Second Ward, Union Stake	La Grande Second Ward, Union Stake	La Grande, Union, Oregon, United States	La Grande, Union, Oregon, United States	La Grande, Oregon	United States	Oregon	Union	La Grande		La Grande, Union, Oregon, United States	United States	Oregon	Union	La Grande		['20th Century']	['improvement-era', '1944-jun']						
Carolyn June Anderson Sexauer	female				16 Jan 1908	16 Jan 1908	16 Jan 1908	1908.0	Jan	16.0							3 Feb 1944	3 Feb 1944	3 Feb 1944	1944	Feb	3.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n43)							College Ward, San Diego Stake	College Ward, San Diego Stake	San Diego, San Diego, California, United States	San Diego, San Diego, California, United States	San Diego, California	United States	California	San Diego	San Diego		San Diego, San Diego, California, United States	United States	California	San Diego	San Diego		['20th Century']	['improvement-era', '1944-jun']						
Ronald Duane Sexauer	male				22 Dec 1929	22 Dec 1929	22 Dec 1929	1929.0	Dec	22.0							3 Feb 1944	3 Feb 1944	3 Feb 1944	1944	Feb	3.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n43)							College Ward, San Diego Stake	College Ward, San Diego Stake	San Diego, San Diego, California, United States	San Diego, San Diego, California, United States	San Diego, California	United States	California	San Diego	San Diego		San Diego, San Diego, California, United States	United States	California	San Diego	San Diego		['20th Century']	['improvement-era', '1944-jun']						
Gerald Michael Sexauer	male				10 Aug 1936	10 Aug 1936	10 Aug 1936	1936.0	Aug	10.0							3 Feb 1944	3 Feb 1944	3 Feb 1944	1944	Feb	3.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n43)							College Ward, San Diego Stake	College Ward, San Diego Stake	San Diego, San Diego, California, United States	San Diego, San Diego, California, United States	San Diego, California	United States	California	San Diego	San Diego		San Diego, San Diego, California, United States	United States	California	San Diego	San Diego		['20th Century']	['improvement-era', '1944-jun']						
Arthur Budvarson	male				4 Apr 1909	4 Apr 1909	4 Apr 1909	1909.0	Apr	4.0							3 Feb 1944	3 Feb 1944	3 Feb 1944	1944	Feb	3.0				excommunicated	excommunicated			Excommunicated alongside his wife, Edna Budvarson, with whom he later founded the Utah Christian Tract Society, as well as their daughter, Dona Mae Budvarson. He explained his disaffection from the church as resulting from a conversion to biblical Christianity as opposed to Mormonism. He later published _The Book of Mormon, true or false?_ , a critique of the Book of Mormon.	[Excommunicated](https://archive.org/details/improvementera4706unse/page/n43) alongside his wife, Edna Budvarson, [with whom he later founded the Utah Christian Tract Society](https://web.archive.org/web/20190526220223/http://www.mrm.org/art-budvarson), as well as their daughter, Dona Mae Budvarson. He explained his disaffection from the church as resulting from a conversion to biblical Christianity as opposed to Mormonism. He later published _The Book of Mormon, true or false?_, a critique of the Book of Mormon.			College Ward, San Diego Stake	College Ward, San Diego Stake	San Diego, San Diego, California, United States	San Diego, San Diego, California, United States	San Diego, California	United States	California	San Diego	San Diego		San Diego, San Diego, California, United States	United States	California	San Diego	San Diego		['20th Century']	['improvement-era', '1944-jun']						
Edna May Anderson Budvarson	female				23 Dec 1911	23 Dec 1911	23 Dec 1911	1911.0	Dec	23.0							3 Feb 1944	3 Feb 1944	3 Feb 1944	1944	Feb	3.0				excommunicated	excommunicated			Excommunicated alongside her husband, Arthur Budvarson, with whom she later founded the Utah Christian Tract Society, as well as their daughter, Dona Mae Budvarson.	[Excommunicated](https://archive.org/details/improvementera4706unse/page/n43) alongside her husband, Arthur Budvarson, [with whom she later founded the Utah Christian Tract Society](https://web.archive.org/web/20190526220223/http://www.mrm.org/art-budvarson), as well as their daughter, Dona Mae Budvarson.			College Ward, San Diego Stake	College Ward, San Diego Stake	San Diego, San Diego, California, United States	San Diego, San Diego, California, United States	San Diego, California	United States	California	San Diego	San Diego		San Diego, San Diego, California, United States	United States	California	San Diego	San Diego		['20th Century']	['improvement-era', '1944-jun']						
Dona Mae Budvarson	female				19 Mar 1930	19 Mar 1930	19 Mar 1930	1930.0	Mar	19.0							3 Feb 1944	3 Feb 1944	3 Feb 1944	1944	Feb	3.0				excommunicated	excommunicated			Excommunicated at age thirteen with her parents, Arthur and Edna Budvarson.	[Excommunicated](https://archive.org/details/improvementera4706unse/page/n43) at age thirteen with her parents, Arthur and Edna Budvarson.			College Ward, San Diego Stake	College Ward, San Diego Stake	San Diego, San Diego, California, United States	San Diego, San Diego, California, United States	San Diego, California	United States	California	San Diego	San Diego		San Diego, San Diego, California, United States	United States	California	San Diego	San Diego		['20th Century']	['improvement-era', '1944-jun']						
Elizabeth C. Gadbury	female				13 Jul 1899	13 Jul 1899	13 Jul 1899	1899.0	Jul	13.0							13 Feb 1944	13 Feb 1944	13 Feb 1944	1944	Feb	13.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Burbank Ward, San Fernando Stake	Burbank Ward, San Fernando Stake	Burbank, Los Angeles, California, United States	Burbank, Los Angeles, California, United States	Burbank, California	United States	California	Los Angeles	Burbank		Burbank, Los Angeles, California, United States	United States	California	Los Angeles	Burbank		['20th Century']	['improvement-era', '1944-jun']						
Evalyn Effigene Clark Carman	female				24 Jun 1912	24 Jun 1912	24 Jun 1912	1912.0	Jun	24.0							14 Feb 1944	14 Feb 1944	14 Feb 1944	1944	Feb	14.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n43)							La Grande Second Ward, Union Stake	La Grande Second Ward, Union Stake	La Grande, Union, Oregon, United States	La Grande, Union, Oregon, United States	La Grande, Oregon	United States	Oregon	Union	La Grande		La Grande, Union, Oregon, United States	United States	Oregon	Union	La Grande		['20th Century']	['improvement-era', '1944-jun']						
Iva Mae Clarson Holmes	female				13 Oct 1913	13 Oct 1913	13 Oct 1913	1913.0	Oct	13.0							14 Feb 1944	14 Feb 1944	14 Feb 1944	1944	Feb	14.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n43)							La Grande Second Ward, Union Stake	La Grande Second Ward, Union Stake	La Grande, Union, Oregon, United States	La Grande, Union, Oregon, United States	La Grande, Oregon	United States	Oregon	Union	La Grande		La Grande, Union, Oregon, United States	United States	Oregon	Union	La Grande		['20th Century']	['improvement-era', '1944-jun']						
Joseph Bertrand Dana	male				1 Aug 1903	1 Aug 1903	1 Aug 1903	1903.0	Aug	1.0							14 Feb 1944	14 Feb 1944	14 Feb 1944	1944	Feb	14.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Ogden Tenth Ward, North Weber Stake	Ogden Tenth Ward, North Weber Stake	Ogden, Weber, Utah, United States	Ogden, Weber, Utah, United States	Ogden, Utah	United States	Utah	Weber	Ogden		Ogden, Weber, Utah, United States	United States	Utah	Weber	Ogden		['20th Century']	['improvement-era', '1944-jun']						
Heber Chase Smith, Jr.	male				24 Mar 1916	24 Mar 1916	24 Mar 1916	1916.0	Mar	24.0							15 Feb 1944	15 Feb 1944	15 Feb 1944	1944	Feb	15.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Sixth-Seventh Ward, Pioneer Stake	Sixth-Seventh Ward, Pioneer Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-jun']						
Carol Loraine Murphy	female				15 Jul 1933	15 Jul 1933	15 Jul 1933	1933.0	Jul	15.0							17 Feb 1944	17 Feb 1944	17 Feb 1944	1944	Feb	17.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n43)							Lincoln Ward, Granite Stake	Lincoln Ward, Granite Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-jun']						
Ellen Winnifred Haysey Chandler	female				19 Jun 1889	19 Jun 1889	19 Jun 1889	1889.0	Jun	19.0							18 Feb 1944	18 Feb 1944	18 Feb 1944	1944	Feb	18.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Calgary Ward, Lethbridge Stake	Calgary Ward, Lethbridge Stake	Calgary, Alberta, Canada	Calgary, Alberta, Canada	Calgary, Alberta, Canada	Canada	Alberta	Calgary			Calgary, Alberta, Canada	Canada	Alberta	Calgary			['20th Century']	['improvement-era', '1944-jun']						
William Henry Chandler	male				22 Dec 1877	22 Dec 1877	22 Dec 1877	1877.0	Dec	22.0							18 Feb 1944	18 Feb 1944	18 Feb 1944	1944	Feb	18.0			priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Calgary Ward, Lethbridge Stake	Calgary Ward, Lethbridge Stake	Calgary, Alberta, Canada	Calgary, Alberta, Canada	Calgary, Alberta, Canada	Canada	Alberta	Calgary			Calgary, Alberta, Canada	Canada	Alberta	Calgary			['20th Century']	['improvement-era', '1944-jun']						
Irene Davis Lamb Brisk	female				6 Oct 1900	6 Oct 1900	6 Oct 1900	1900.0	Oct	6.0							20 Feb 1944	20 Feb 1944	20 Feb 1944	1944	Feb	20.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4804unse/page/n45)							Copperton Branch?, Bingham Stake?	Copperton Branch?, Bingham Stake?	Copperton, Salt Lake, Utah, United States	Copperton, Salt Lake, Utah, United States	Copperton, Utah	United States	Utah	Salt Lake	Copperton		Copperton, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Copperton		['20th Century']	['improvement-era', '1945-apr']						
Grant Allyn Caproni	male				10 Dec 1880	10 Dec 1880	10 Dec 1880	1880.0	Dec	10.0							27 Feb 1944	27 Feb 1944	27 Feb 1944	1944	Feb	27.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Wandamere Ward, Grant Stake	Wandamere Ward, Grant Stake	Salt Lake City?, Salt Lake, Utah, United States	[Salt Lake City?, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Grant_Stake,_Utah#Wandamere_Ward)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City?		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-jun']						
Charles Gray Cluff	male				4 Oct 1905	4 Oct 1905	4 Oct 1905	1905.0	Oct	4.0							13 Mar 1944	13 Mar 1944	13 Mar 1944	1944	Mar	13.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Newton Ward, Smithfield Stake	Newton Ward, Smithfield Stake	Newton, Cache, Utah, United States	Newton, Cache, Utah, United States	Newton, Utah	United States	Utah	Cache	Newton		Newton, Cache, Utah, United States	United States	Utah	Cache	Newton		['20th Century']	['improvement-era', '1944-jun']						
Corine Woodward Grivet	female				5 Dec 1910	5 Dec 1910	5 Dec 1910	1910.0	Dec	5.0							13 Mar 1944	13 Mar 1944	13 Mar 1944	1944	Mar	13.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Helper Ward, Carbon Stake	Helper Ward, Carbon Stake	Helper, Carbon, Utah, United States	Helper, Carbon, Utah, United States	Helper, Utah	United States	Utah	Carbon	Helper		Helper, Carbon, Utah, United States	United States	Utah	Carbon	Helper		['20th Century']	['improvement-era', '1944-jun']						
Olive Reed Nilson	female				11 Feb 1902	11 Feb 1902	11 Feb 1902	1902.0	Feb	11.0	24 Oct 1991	[24 Oct 1991](https://www.deseret.com/1991/10/31/18950485/death-olive-reed-nilson)	24 Oct 1991	1991.0	Oct	24.0	13 Mar 1944	13 Mar 1944	13 Mar 1944	1944	Mar	13.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Helper Ward, Carbon Stake	Helper Ward, Carbon Stake	Helper, Carbon, Utah, United States	Helper, Carbon, Utah, United States	Helper, Utah	United States	Utah	Carbon	Helper		Helper, Carbon, Utah, United States	United States	Utah	Carbon	Helper		['20th Century']	['improvement-era', '1944-jun']						
John McLaughlan, Jr.	male				8 Jul 1910	8 Jul 1910	8 Jul 1910	1910.0	Jul	8.0							14 Mar 1944	14 Mar 1944	14 Mar 1944	1944	Mar	14.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Thirtieth Ward, Pioneer Stake	Thirtieth Ward, Pioneer Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Pioneer_Stake,_Utah#Salt_Lake_City_30th_Ward)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-dec']						
Mildred P. J. McLaughlan	female				28 Feb 1913	28 Feb 1913	28 Feb 1913	1913.0	Feb	28.0							14 Mar 1944	14 Mar 1944	14 Mar 1944	1944	Mar	14.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Thirtieth Ward, Pioneer Stake	Thirtieth Ward, Pioneer Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Pioneer_Stake,_Utah#Salt_Lake_City_30th_Ward)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-dec']						
Clark LeRoy Tyler	male				13 Jul 1905	13 Jul 1905	13 Jul 1905	1905.0	Jul	13.0							20 Mar 1944	20 Mar 1944	20 Mar 1944	1944	Mar	20.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Manchester Ward, South Los Angeles Stake	Manchester Ward, South Los Angeles Stake	Los Angeles, Los Angeles, California, United States	Los Angeles, Los Angeles, California, United States	Los Angeles, California	United States	California	Los Angeles	Los Angeles		Los Angeles, Los Angeles, California, United States	United States	California	Los Angeles	Los Angeles		['20th Century']	['improvement-era', '1944-jun']						
George Franklin Hartvigson	male				15 Jul 1882	15 Jul 1882	15 Jul 1882	1882.0	Jul	15.0							26 Mar 1944	26 Mar 1944	26 Mar 1944	1944	Mar	26.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4805unse/page/n47)							LaGrande Second Ward, Union Oregon Stake	LaGrande Second Ward, Union Oregon Stake	LaGrande, Union, Oregon, United States	LaGrande, Union, Oregon, United States	LaGrande, Oregon	United States	Oregon	Union	LaGrande		LaGrande, Union, Oregon, United States	United States	Oregon	Union	LaGrande		['20th Century']	['improvement-era', '1945-may']						
Joseph Waite Hunter	male				20 May 1893	20 May 1893	20 May 1893	1893.0	May	20.0							31 Mar 1944	31 Mar 1944	31 Mar 1944	1944	Mar	31.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Emmett Ward, Weiser Stake	Emmett Ward, Weiser Stake	Emmett, Gem, Idaho, United States	Emmett, Gem, Idaho, United States	Emmett, Idaho	United States	Idaho	Gem	Emmett		Emmett, Gem, Idaho, United States	United States	Idaho	Gem	Emmett		['20th Century']	['improvement-era', '1944-jun']						
Thelma C. Voight	female				11 Feb 1906	11 Feb 1906	11 Feb 1906	1906.0	Feb	11.0							3 Apr 1944	3 Apr 1944	3 Apr 1944	1944	Apr	3.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4709unse/page/n23)							Dimond Ward, Oakland Stake	Dimond Ward, Oakland Stake	Oakland, Alameda, California, United States	Oakland, Alameda, California, United States	Oakland, California	United States	California	Alameda	Oakland		Oakland, Alameda, California, United States	United States	California	Alameda	Oakland		['20th Century']	['improvement-era', '1944-sep']						
Duane Furnell Gee	male				2 Dec 1918	2 Dec 1918	2 Dec 1918	1918.0	Dec	2.0							5 Apr 1944	5 Apr 1944	5 Apr 1944	1944	Apr	5.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Harvard Ward, Liberty Stake	Harvard Ward, Liberty Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-jun']						
Clarence Watson Bowman	male				13 May 1904	13 May 1904	13 May 1904	1904.0	May	13.0							11 Apr 1944	11 Apr 1944	11 Apr 1944	1944	Apr	11.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4805unse/page/n47)							Harvard Ward, Liberty Stake	Harvard Ward, Liberty Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-may']						
Paul Carl Hilgendorff	male				27 Feb 1875	27 Feb 1875	27 Feb 1875	1875.0	Feb	27.0							16 Apr 1944	16 Apr 1944	16 Apr 1944	1944	Apr	16.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4706unse/page/n45)							Nibley Park Ward, Granite Stake	Nibley Park Ward, Granite Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Granite_Stake,_Utah#Nibley_Park)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-jun']						
Lloyd Franklin Anderson	male				16 Nov 1913	16 Nov 1913	16 Nov 1913	1913.0	Nov	16.0							17 Apr 1944	17 Apr 1944	17 Apr 1944	1944	Apr	17.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4709unse/page/n23)							North Park Ward, San Diego Stake	North Park Ward, San Diego Stake	San Diego, San Diego, California, United States	San Diego, San Diego, California, United States	San Diego, California	United States	California	San Diego	San Diego		San Diego, San Diego, California, United States	United States	California	San Diego	San Diego		['20th Century']	['improvement-era', '1944-sep']						
Ross Wesley LeBaron	male				16 Nov 1914	16 Nov 1914	16 Nov 1914	1914.0	Nov	16.0							18 Apr 1944	18 Apr 1944	18 Apr 1944	1944	Apr	18.0	later Church of the Firstborn founder	[later Church of the Firstborn founder](https://web.archive.org/web/20190727012734/https://www.mormonfundamentalism.com/archive/ChartLinks/RossWesleyLeBaron.htm)	teacher	excommunicated	excommunicated			Excommunicated alongside his wife, Thelma Elena Cox LeBaron. The son of excommunicant Alma Dayer LeBaron, Sr.)	[Excommunicated](https://archive.org/details/improvementera4712unse/page/n55) [alongside his wife, Thelma Elena Cox LeBaron](https://web.archive.org/web/20180719233334/https://holyorder.org/2017/08/02/the-improvement-era-excommunication-of-ross-lebaron-and-thelma-cox/). [The son of excommunicant Alma Dayer LeBaron, Sr.](https://en.wikipedia.org/wiki/Church_of_the_Firstborn_(LeBaron_family))			Third Ward, Liberty Stake	Third Ward, Liberty Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-dec']						
Thelma Elena Cox LeBaron	female				4 Aug 1918	4 Aug 1918	4 Aug 1918	1918.0	Aug	4.0							18 Apr 1944	18 Apr 1944	18 Apr 1944	1944	Apr	18.0				excommunicated	excommunicated			Excommunicated alongside her husband, Ross Wesley LeBaron.	[Excommunicated](https://archive.org/details/improvementera4712unse/page/n55) [alongside her husband](https://web.archive.org/web/20180719233334/https://holyorder.org/2017/08/02/the-improvement-era-excommunication-of-ross-lebaron-and-thelma-cox/), Ross Wesley LeBaron.			Third Ward, Liberty Stake	Third Ward, Liberty Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-dec']						
Howard W. Long	male				7 Feb 1892	7 Feb 1892	7 Feb 1892	1892.0	Feb	7.0							20 Apr 1944	20 Apr 1944	20 Apr 1944	1944	Apr	20.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4709unse/page/n23)							Thatcher Ward, St. Joseph Stake	Thatcher Ward, St. Joseph Stake	Thatcher, Graham, Arizona, United States	Thatcher, Graham, Arizona, United States	Thatcher, Arizona	United States	Arizona	Graham	Thatcher		Thatcher, Graham, Arizona, United States	United States	Arizona	Graham	Thatcher		['20th Century']	['improvement-era', '1944-sep']						
Kenneth S. Lambert	male				19 Jan 1906	19 Jan 1906	19 Jan 1906	1906.0	Jan	19.0							30 Apr 1944	30 Apr 1944	30 Apr 1944	1944	Apr	30.0			teacher	excommunicated	[excommunicated](https://archive.org/details/improvementera4709unse/page/n23)							Grandview Ward, Grant Stake	Grandview Ward, Grant Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-sep']						
